classification,caption,level_code,table_type,columns
ED-EDS,EDS-1,EDS-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
ED-EDS,EDS-2,EDS-2,STEP,"Effective date, Step 1, Step 2, Step 3"
ED-EDS,EDS-3,EDS-3,STEP,"Effective date, Step 1, Step 2, Step 3"
ED-EDS,EDS-4,EDS-4,STEP,"Effective date, Step 1, Step 2, Step 3"
ED-EDS,EDS-5,EDS-5,STEP,"Effective date, Step 1, Step 2, Step 3"
ED-EST,,,OTHER,"Teaching experience, Level 1  $)  1/7/20, A)  1/7/21, B)  1/7/22, X)  1/7/22, C)  1/7/23, Y)  1/7/23, D)  1/7/24, Z)  1/7/24"
ED-EST,,,OTHER,"Teaching experience, Level 2  $)  1/7/20, A)  1/7/21, B)  1/7/22, X)  1/7/22, C)  1/7/23, Y)  1/7/23, D)  1/7/24, Z)  1/7/24"
ED-EST,,,OTHER,"Teaching experience, Level 3  $)  1/7/20, A)  1/7/21, B)  1/7/22, X)  1/7/22, C)  1/7/23, Y)  1/7/23, D)  1/7/24, Z)  1/7/24"
ED-EST,,,OTHER,"Teaching experience, Level 4  $)  1/7/20, A)  1/7/21, B)  1/7/22, X)  1/7/22, C)  1/7/23, Y)  1/7/23, D)  1/7/24, Z)  1/7/24"
ED-EST,,,OTHER,"Teaching experience, Level 5  $)  1/7/20, A)  1/7/21, B)  1/7/22, X)  1/7/22, C)  1/7/23, Y)  1/7/23, D)  1/7/24, Z)  1/7/24"
ED-EST,,,OTHER,"Teaching experience, Level 6  $)  1/7/20, A)  1/7/21, B)  1/7/22, X)  1/7/22, C)  1/7/23, Y)  1/7/23, D)  1/7/24, Z)  1/7/24"
ED-EST,,,OTHER,"Teaching experience, Level 1, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 2, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 3, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 4, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 5, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 6, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 1, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 2, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 3, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 4, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 5, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 6, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 1, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 2, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 3, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 4, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 5, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 6, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 1, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 2, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 3, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 4, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 5, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 6, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 1, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 2, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 3, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 4, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 5, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 6, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 1, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 2, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 3, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 4, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 5, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 6, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 1, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 2, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 3, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 4, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 5, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-EST,,,OTHER,"Teaching experience, Level 6, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-LAT,,,OTHER,"Teaching experience, Level 1, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-LAT,,,OTHER,"Teaching experience, Level 2, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-LAT,,,OTHER,"Teaching experience, Level 3, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-LAT,,,OTHER,"Teaching experience, Level 4, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
